[:             29.10.2021, 11:32:32] --> Character got kick
[aszireders:   29.10.2021, 11:33:05] --> Bot successfully started
[aszireders:   29.10.2021, 11:33:05] --> 474Jennifer5 appeared
[aszireders:   29.10.2021, 11:36:56] --> Changing into CH3
[aszireders:   29.10.2021, 11:44:15] --> Bot successfully started
[aszireders:   29.10.2021, 11:44:15] --> TYLER appeared
[aszireders:   29.10.2021, 11:44:15] --> Setting 'umut' loaded because of active level settings
[aszireders:   29.10.2021, 11:44:21] --> Character went to saleswoman
[aszireders:   29.10.2021, 11:44:29] --> Character was kicked from the bot, reason: Character was walking
[aszireders:   29.10.2021, 11:45:03] --> Character was kicked from the bot, reason: Character was walking
[aszireders:   29.10.2021, 11:45:16] --> Character leveled up to level 4
[aszireders:   29.10.2021, 11:45:17] --> Character leveled up to level 6
[aszireders:   29.10.2021, 11:45:18] --> Character leveled up to level 7
[aszireders:   29.10.2021, 11:48:26] --> Bot successfully started
[aszireders:   29.10.2021, 11:48:26] --> Setting 'umut' loaded because of active level settings
[aszireders:   29.10.2021, 11:48:27] --> 777DARK appeared
[aszireders:   29.10.2021, 11:48:35] --> Character leveled up to level 10
[aszireders:   29.10.2021, 11:48:36] --> 777DARK appeared
[aszireders:   29.10.2021, 11:48:41] --> Character leveled up to level 11
[aszireders:   29.10.2021, 11:49:06] --> Character leveled up to level 12
[aszireders:   29.10.2021, 11:49:16] --> Character leveled up to level 13
[aszireders:   29.10.2021, 11:49:27] --> Character leveled up to level 14
[aszireders:   29.10.2021, 11:49:32] --> Character leveled up to level 15
[aszireders:   29.10.2021, 11:50:12] --> Character leveled up to level 16
[aszireders:   29.10.2021, 11:50:20] --> Character leveled up to level 17
[aszireders:   29.10.2021, 11:51:17] --> Character leveled up to level 18
[aszireders:   29.10.2021, 11:51:32] --> wiridizizobi appeared
[aszireders:   29.10.2021, 11:51:54] --> wiridizizobi appeared
[aszireders:   29.10.2021, 11:52:07] --> Character leveled up to level 19
[aszireders:   29.10.2021, 11:52:10] --> wiridizizobi appeared
[aszireders:   29.10.2021, 11:52:38] --> Character leveled up to level 20
[aszireders:   29.10.2021, 11:53:03] --> wiridizizobi appeared
[aszireders:   29.10.2021, 11:53:48] --> wiridizizobi appeared
[aszireders:   29.10.2021, 11:54:12] --> Character leveled up to level 21
[aszireders:   29.10.2021, 11:54:29] --> wiridizizobi appeared
[aszireders:   29.10.2021, 11:55:05] --> wiridizizobi appeared
[aszireders:   29.10.2021, 11:55:34] --> Character leveled up to level 22
[aszireders:   29.10.2021, 11:55:49] --> wiridizizobi appeared
[aszireders:   29.10.2021, 11:56:31] --> wiridizizobi appeared
[aszireders:   29.10.2021, 11:57:06] --> wiridizizobi appeared
[aszireders:   29.10.2021, 11:57:32] --> Character leveled up to level 23
[aszireders:   29.10.2021, 11:57:32] --> Setting 'umut2' loaded because of active level settings
[aszireders:   29.10.2021, 11:57:41] --> Character got kick
[aszireders:   29.10.2021, 11:58:17] --> Character was kicked from the bot, reason: Character was walking
[aszireders:   29.10.2021, 11:58:43] --> Character was kicked from the bot, reason: Character was walking
[aszireders:   29.10.2021, 11:58:54] --> fefegagunuz appeared
[aszireders:   29.10.2021, 11:59:32] --> Character leveled up to level 24
[aszireders:   29.10.2021, 11:59:39] --> zicebebafe appeared
[aszireders:   29.10.2021, 11:59:55] --> megimuhikom appeared
[aszireders:   29.10.2021, 12:00:02] --> zicebebafe appeared
[aszireders:   29.10.2021, 12:00:13] --> Character leveled up to level 25
[aszireders:   29.10.2021, 12:00:27] --> pizunacicipa appeared
[aszireders:   29.10.2021, 12:01:16] --> Character leveled up to level 26
[aszireders:   29.10.2021, 12:01:41] --> zicebebafe appeared
[aszireders:   29.10.2021, 12:02:12] --> Character leveled up to level 27
[aszireders:   29.10.2021, 12:02:15] --> zicebebafe appeared
